time_ps,min_dist_A
0.0,3.5245527917191253
10.0,3.595621007941542
20.0,3.385395204371931
30.0,3.6217666850449697
40.0,3.568616361505863
50.0,3.417102574177059
60.0,3.7090837211903023
70.0,3.7655718164802083
80.0,3.550408607071502
90.0,3.450868168938528
100.0,3.611106020507316
110.0,3.466081724874951
120.0,3.508449684614049
130.0,3.6390262927922232
140.0,3.497926958051015
150.0,3.5123176926021964
160.0,3.3711877693698287
170.0,3.4604955827711485
180.0,3.4636177542798428
190.0,3.1841067550710886
200.0,3.3579509920266997
210.0,3.5895140720157332
220.0,3.6079667284536576
230.0,3.6215541374064024
240.0,3.4235920349667888
250.0,3.5129483977642266
260.0,3.4332051341284733
270.0,3.4520858465419266
280.0,3.4328700940363612
290.0,3.570180879173195
300.0,3.6551560713391815
310.0,3.448986987234338
320.0,3.5018908484135713
330.0,3.4822265791554887
340.0,3.5775082420866333
350.0,3.5641103390421756
360.0,3.5061450656315114
370.0,3.333118230163754
380.0,3.4782061228400027
390.0,3.570223654145124
400.0,3.5494388598923785
410.0,3.7265155788474087
420.0,3.52241406890919
430.0,3.860264503236894
440.0,3.7238964337583185
450.0,3.6674758504703378
460.0,3.4220187117607845
470.0,3.6278260739793327
480.0,3.579969213557289
490.0,3.568572749505157
500.0,3.383084842173926
510.0,3.3659172796332855
520.0,3.3256286306832674
530.0,3.4943722485709596
540.0,3.7032715099103832
550.0,3.7001972475916585
560.0,3.3663252602955884
570.0,3.481928340663566
580.0,3.4619498332152085
590.0,3.614013339900608
600.0,3.620623146082482
610.0,3.417569066369681
620.0,3.5176413774859823
630.0,3.4448987640918345
640.0,3.7426770466976085
650.0,3.5289602889378036
660.0,3.286260701682842
670.0,3.571188350115617
680.0,3.4973585646367487
690.0,3.628622760606299
700.0,3.3040962271741905
710.0,3.6387397055738067
720.0,3.584928517501102
730.0,3.399612272490457
740.0,3.284067199745107
750.0,3.6130519192481856
760.0,3.5838149266020563
770.0,3.9296894608945627
780.0,3.7019006587924927
790.0,3.6419107004171685
800.0,3.6893606416697304
810.0,3.3439206093305907
820.0,3.4330212042248673
830.0,3.667728622793713
840.0,3.6411249807589177
850.0,3.5162665482385975
860.0,3.6370460953811827
870.0,3.42195861926462
880.0,3.3479074666930253
890.0,3.328332683150135
900.0,3.655547312453673
910.0,3.5835879259668872
920.0,3.5529792895110344
930.0,3.6597481175125046
940.0,3.398984664109449
950.0,3.1733111564546244
960.0,3.5433622938138294
970.0,3.3650249717209433
980.0,3.4676940159611114
990.0,3.698497497254868
1000.0,3.73859513870505
1010.0,3.5162778447720044
1020.0,3.365026128028862
1030.0,3.4713959445857636
1040.0,3.6070206814530166
1050.0,3.4558078562269117
1060.0,3.524358007313309
1070.0,3.4843415720669384
1080.0,3.6207508353889133
1090.0,3.61343169893927
1100.0,3.684860220423552
1110.0,3.6920032846394824
1120.0,3.33998558155686
1130.0,3.494086103901625
1140.0,3.6277122226217857
1150.0,3.568109745990178
1160.0,3.405197318215098
1170.0,3.655761330109703
1180.0,3.824244293366965
1190.0,3.6276425266997907
1200.0,3.3162336587353054
1210.0,3.500670000089758
1220.0,3.697220390434544
1230.0,3.5612662045948893
1240.0,3.865805933382882
1250.0,3.5572765324663367
1260.0,4.165792224183161
1270.0,3.4462440665016794
1280.0,3.6356021009900568
1290.0,3.7508042838720472
1300.0,3.545208244293551
1310.0,3.5692917761964567
1320.0,3.5443899777458774
1330.0,3.7322646859158994
1340.0,3.6811558711871015
1350.0,3.476400673476051
1360.0,3.5288702218660766
1370.0,3.7084400518878606
1380.0,3.411833485556271
1390.0,3.5841470084077405
1400.0,3.7709190333199087
1410.0,3.599706278794925
1420.0,3.563215380135287
1430.0,3.460225979700835
1440.0,3.622719308811111
1450.0,3.5970265515030118
1460.0,3.4378047827434908
1470.0,3.4315463345679906
1480.0,3.5250805931897515
1490.0,3.446126717851018
1500.0,3.651373335740734
1510.0,3.8616228003106574
1520.0,3.528358964379068
1530.0,3.624692617295559
1540.0,3.686849950571748
1550.0,3.4938331042214217
1560.0,3.470354639238068
1570.0,3.6102626030924974
1580.0,3.3218662315997265
1590.0,3.656955333944667
1600.0,3.687136879840277
1610.0,3.3168388012555208
1620.0,3.69283346665844
1630.0,3.5369282853775768
1640.0,3.696567973502835
1650.0,3.6553685748977247
1660.0,3.4519531338433174
1670.0,3.4993441280017574
1680.0,3.4621633260523725
1690.0,3.5846444828090975
1700.0,3.541026116922977
1710.0,3.444111055759177
1720.0,3.4413497632112158
1730.0,3.4967570015153853
1740.0,3.5467365259015375
1750.0,3.400381950692736
1760.0,3.3221833460939223
1770.0,3.6308028144166946
1780.0,3.6441953782514602
1790.0,3.4892158786126535
1800.0,3.506838108946249
1810.0,3.589284721679437
1820.0,3.461060697013642
1830.0,3.4412973687703325
1840.0,3.6652949615510977
1850.0,3.620086618099504
1860.0,3.35744722350074
1870.0,3.736260912400211
1880.0,3.4580454868151933
1890.0,3.6281382428710764
1900.0,3.430041341728513
1910.0,3.3833435527036984
1920.0,3.582642639263293
1930.0,3.806130177585943
1940.0,3.607439884315831
1950.0,3.4423485696493765
1960.0,3.302446364412924
1970.0,3.4052049975694088
1980.0,3.539731642473409
1990.0,3.51051207369531
2000.0,3.460361682313655
2010.0,3.458450654495262
2020.0,3.742421021225328
2030.0,3.521604114373222
2040.0,3.3547722101569892
2050.0,3.5569806882482995
2060.0,3.458123719297179
2070.0,3.7148335633422773
2080.0,3.5119504683616176
2090.0,3.4479277312131615
2100.0,3.7015198278126413
2110.0,3.7175508921779943
2120.0,3.36404475401639
2130.0,3.4381965886951744
2140.0,3.6163608886130887
2150.0,3.4747919885992635
2160.0,3.580688753634273
2170.0,3.4439232167439195
2180.0,3.501520814790398
2190.0,3.7987495212069455
2200.0,3.682093886224511
2210.0,3.5104107317060604
2220.0,3.4713254893603773
2230.0,3.4981878378399047
2240.0,3.5222670970519756
2250.0,3.5850014539509916
2260.0,3.727058326352994
2270.0,3.6329709810896267
2280.0,3.665811076642748
2290.0,3.7722798864081324
2300.0,3.420787231242468
2310.0,3.630441543796959
2320.0,3.625369114888619
2330.0,3.4427568810555114
2340.0,3.5115376578421977
2350.0,3.3627046185614025
2360.0,3.4867320476797423
2370.0,3.6383603005933636
2380.0,3.5986761244457957
2390.0,3.5125810168306195
2400.0,3.7835602702750686
2410.0,3.554443463469215
2420.0,3.7423711781399067
2430.0,3.674349048501586
2440.0,3.402794342654058
2450.0,3.2741610001884145
2460.0,3.8747467879888657
2470.0,3.436543389847612
2480.0,3.514040379640447
2490.0,3.3479684895414072
2500.0,3.49177747260838
2510.0,3.568115722315351
2520.0,3.471225910041631
2530.0,3.481988197947387
2540.0,3.6029225174657653
2550.0,3.438633910105218
2560.0,3.373962277625134
2570.0,3.411696557118006
2580.0,3.5161515690754843
2590.0,3.647433997768728
2600.0,3.467817018049286
2610.0,3.3871783384667964
2620.0,3.3858647919570632
2630.0,3.5101881399595753
2640.0,3.4533771211172746
2650.0,3.3056488406718203
2660.0,3.3890156764599277
2670.0,3.6208963622716976
2680.0,3.47035833262118
2690.0,3.500529977839247
2700.0,3.4303669858311236
2710.0,3.4905271144139594
2720.0,3.3520884503191692
2730.0,3.7035845451032476
2740.0,3.521436726229136
2750.0,3.7427528488583457
2760.0,3.429544627934348
2770.0,3.5515622538194553
2780.0,3.4634495327734616
2790.0,3.5920745595596424
2800.0,3.5598447092886474
2810.0,3.312908831092085
2820.0,3.5767891470459388
2830.0,3.493235329382107
2840.0,3.589281190203673
2850.0,3.587144248204007
2860.0,3.5929621920188946
2870.0,3.3521654457933288
2880.0,3.5749187113552803
2890.0,3.395376698154735
2900.0,3.5813281414064977
2910.0,3.632657374046223
2920.0,3.347158944477776
2930.0,3.550671843665758
2940.0,3.5429447234723854
2950.0,3.440086138336237
2960.0,3.455021310128424
2970.0,3.5465312572204715
2980.0,3.415567796013346
2990.0,3.605084912789884
3000.0,3.516865105072295
3010.0,3.51159309424935
3020.0,3.507337474814958
3030.0,3.6754457363815085
3040.0,3.4569518705608817
3050.0,3.81577127442252
3060.0,3.7177019673177876
3070.0,3.667757919809436
3080.0,3.7435139110181135
3090.0,3.7460673542096408
3100.0,3.603244421749923
3110.0,3.5063925586917772
3120.0,3.297519677424164
3130.0,3.471828194125409
3140.0,3.4957909305058594
3150.0,3.609560055119837
3160.0,3.5724779933205877
3170.0,3.5446452586648785
3180.0,3.4467697784354585
3190.0,3.509619226919011
3200.0,3.783612704103489
3210.0,3.7494913021688925
3220.0,3.600937496194239
3230.0,3.473681886827841
3240.0,3.651158008566278
3250.0,3.571348335111234
3260.0,3.4901133657176655
3270.0,3.7574905113260746
3280.0,3.252352433490854
3290.0,3.329169700831282
3300.0,3.652979434375375
3310.0,3.8616764511658475
3320.0,3.503285946177735
3330.0,3.5142252143872357
3340.0,3.568301816040341
3350.0,3.745039299427899
3360.0,3.4702938472180573
3370.0,3.7287310203342194
3380.0,3.5950796185887928
3390.0,3.6661047563434432
3400.0,3.3773681976355636
3410.0,3.9106820366886605
3420.0,3.587395689189874
3430.0,3.502152165768401
3440.0,3.7901042857457883
3450.0,3.6316163246189
3460.0,3.5803563350978322
3470.0,3.247945247267299
3480.0,3.7029885762403176
3490.0,3.5410170862386536
3500.0,3.294174097312837
3510.0,3.5981882550739854
3520.0,3.5604797052959327
3530.0,3.4600150629560122
3540.0,3.4914305413893545
3550.0,3.2098771396791985
3560.0,3.6021076449901868
3570.0,3.5436005832277804
3580.0,3.4360040033096277
3590.0,3.5287513508657136
3600.0,3.5858291080132805
3610.0,3.342884451902564
3620.0,3.5087625288194184
3630.0,3.7841371787941736
3640.0,3.4943110150094725
3650.0,3.5303539984809404
3660.0,3.635505394938769
3670.0,3.6844119079189666
3680.0,3.606581972815805
3690.0,3.462141679975381
3700.0,3.4107194652801054
3710.0,3.670990500395613
3720.0,3.5313583103554436
3730.0,3.5500171422429716
3740.0,3.6582125934226513
3750.0,3.5887307499643555
3760.0,3.4634058741417455
3770.0,3.622884554991592
3780.0,3.381926037462349
3790.0,3.4639540412844947
3800.0,3.66552742653908
3810.0,3.8403150580244665
3820.0,3.542006702524166
3830.0,3.471395483052133
3840.0,3.751171027284765
3850.0,3.6400405686605013
3860.0,3.5576651076346186
3870.0,3.3682032600032596
3880.0,3.5276493807078944
3890.0,3.3453704409928062
3900.0,3.5418217720386083
3910.0,3.5450507920372085
3920.0,3.578842484870649
3930.0,3.599591418510218
3940.0,3.3759916692716083
3950.0,3.732593509560872
3960.0,3.5129861850097073
3970.0,3.606519915497985
3980.0,3.4698434670187788
3990.0,3.7576872609803518
4000.0,3.7085976315621942
4010.0,3.435145190197027
4020.0,3.821079620473245
4030.0,3.578507443015908
4040.0,3.5806496300486748
4050.0,3.561544563320625
4060.0,3.6402899226353513
4070.0,3.6712557934582315
4080.0,3.4501723908191497
4090.0,3.633223193145676
4100.0,3.618411240294768
4110.0,3.5995367173978106
4120.0,3.5655092091434315
4130.0,3.4905278521074985
4140.0,3.4999712963563216
4150.0,3.677202818357132
4160.0,3.5946875744998796
4170.0,3.763368597511027
4180.0,3.6330905738326984
4190.0,3.369555238536779
4200.0,3.4231424695871557
4210.0,3.623191719225627
4220.0,3.709421168824638
4230.0,3.6349570190753977
4240.0,3.5044793747694105
4250.0,3.5507870479326846
4260.0,3.663798178516554
4270.0,3.5129837417707916
4280.0,3.8781975443039713
4290.0,3.857075380999681
4300.0,3.3726219319248667
4310.0,3.4095866007006164
4320.0,3.356325625005083
4330.0,3.343652810087876
4340.0,3.4019525109637323
4350.0,3.740424605967077
4360.0,3.4209374032110906
4370.0,3.4918234639718615
4380.0,3.528205166094988
4390.0,3.5702451174157317
4400.0,3.480994206623217
4410.0,3.383569919858962
4420.0,3.650466889293598
4430.0,3.606192728896036
4440.0,3.6291873324881094
4450.0,3.554577575997834
4460.0,3.434257153810467
4470.0,3.6134993253465395
4480.0,3.684152641028645
4490.0,3.814789704494087
4500.0,3.556524871986599
4510.0,3.455921581263895
4520.0,3.581807943989806
