time_ps,backbone_RMSD,ligand_RMSD
0.0,6.5542111143121e-07,0.0
10.0,0.8010314229203956,0.7832865643757848
20.0,0.9437292938724868,1.1172015235031298
30.0,0.9659446232851655,0.8698247091785959
40.0,0.9859850893657348,0.9656561249397732
50.0,1.2249310063548027,1.2752268882999538
60.0,1.3624446220729125,0.7255724553462854
70.0,1.3305497254270913,0.9610436566847061
80.0,1.2889251522440468,1.1543700606521552
90.0,1.4717317201133182,0.808487759555954
100.0,1.4105830119387175,0.8478863369339836
110.0,1.1962300601055142,1.2410299163369265
120.0,1.324311690093877,1.2253345485315572
130.0,1.2555947277455457,1.0465370384726096
140.0,1.183496651233498,1.1697182538504762
150.0,1.304822235363306,1.2726457693124809
160.0,1.2915724428913569,1.213721430953957
170.0,1.1422482010820265,1.1105637061311475
180.0,1.1240186995451855,1.4816600414377918
190.0,1.10203245758504,1.6391062896894815
200.0,1.171206373444507,1.6786279123309613
210.0,1.2121076370159403,1.2464425543979252
220.0,1.1921895940747194,1.622740731613039
230.0,1.1979953274959259,1.2360663358485744
240.0,1.0964647865812522,1.5358188141358275
250.0,1.1326412048056629,1.4884948069438035
260.0,1.0661708786612119,1.198032339673329
270.0,1.0611510982100976,1.4026725723774238
280.0,1.118345276175232,1.4660558808356174
290.0,1.098457580896387,1.2810181029216714
300.0,1.226282477947058,1.5809252445538073
310.0,1.3214112989902982,1.6255829523868774
320.0,1.2204680492275028,1.7116488382407697
330.0,1.2145080034259308,1.7133703815073649
340.0,1.2417872020103211,1.4040817679604802
350.0,1.4035386873717606,1.2458815532345273
360.0,1.2219229574442014,1.2630170081247818
370.0,1.2105891702894065,1.558039795574939
380.0,1.2336642253900008,1.4275422148158574
390.0,1.3904468903241323,1.149547786315436
400.0,1.3058322270465246,1.4270629251400377
410.0,1.1770958970756324,1.2764258145654392
420.0,1.2334835528557575,1.0542923854625783
430.0,1.2888499916768326,1.3054286227418748
440.0,1.2327464484850053,1.2779320045509102
450.0,1.3385864394184517,0.9667200912092686
460.0,1.2283379802752528,1.1160677990671248
470.0,1.159729972463199,1.0865428201050644
480.0,1.3471514370175477,1.1029391394927164
490.0,1.2568431607705306,1.2545364528933767
