time_ps,backbone_RMSD,ligand_RMSD
0.0,0.0,0.0
10.0,0.8048586063816268,0.47275333084325327
20.0,1.0406800286065228,0.5513242275314639
30.0,1.217843482982401,0.6212271512910356
40.0,1.3355381882194108,0.7965504846418695
50.0,1.48411230375748,0.6851826350803919
60.0,1.6602872996001279,0.7410290239727214
70.0,1.5098403206772608,0.5922636365294458
80.0,1.3909091819281827,0.656287688626395
90.0,1.299575894521139,0.9012109394242988
100.0,1.424581164257819,0.8701749917987128
110.0,1.4443465117767966,0.5902086732204671
120.0,1.4933114807363597,0.8726108111534426
130.0,1.5898513144170574,0.8762032211537693
140.0,1.5471725552820805,0.776421915036469
150.0,1.3186817453131867,0.684793668997539
160.0,1.300463481562051,0.8531722529556206
170.0,1.386565820552286,0.9482980733108884
180.0,1.362297917045601,0.5070576322793532
190.0,1.2354331959420686,1.3407200664596541
200.0,1.5039788113304668,1.268694281153125
210.0,1.308638064978925,1.000092689925406
220.0,1.62794964803315,1.1310739745385359
230.0,1.768583614460058,1.2034826354105954
240.0,1.7381847549272675,0.9767855338926111
250.0,1.657838247996715,1.114593050759289
260.0,1.850023357797795,1.2542655929693673
270.0,1.6711509791201125,1.3200656603270864
280.0,1.7162155392557081,1.373701337029604
290.0,1.515730715190553,1.3895434430326747
300.0,1.5135311430757585,1.4799454597241815
310.0,1.590218912479369,1.3524604375845475
320.0,1.587774389569543,1.578428080246658
330.0,1.5809427379479801,1.6261753407588624
340.0,1.6671947276596204,1.5011583070724916
350.0,1.5345039639289169,0.9347308798787943
360.0,1.7847076614074813,1.1628584057062328
370.0,1.7592940557540935,1.2006175833229513
380.0,1.8676472268155788,1.4538193632264755
390.0,1.648764869382264,1.483151875472846
400.0,1.6019198035728202,1.1472112790622653
410.0,1.7279786281286438,1.2792241256710226
420.0,1.6238931530128846,1.2630868813641987
430.0,1.6099686282414973,1.2198340429404153
440.0,1.4933474231572645,1.122799036713098
450.0,1.4970543100464984,1.0206874889553663
460.0,1.5816293927262977,1.0576772939508068
470.0,1.6893221776592016,1.2104963045239039
480.0,1.756183930066207,1.290758728515255
490.0,1.819221652894255,1.0822946591166152
500.0,1.8565086147354735,1.0740424121017598
510.0,1.660937382812804,1.029677433137862
520.0,1.6188027878333657,1.0674901311137672
530.0,1.8402320703382935,1.2649576350935698
540.0,1.729460435444263,1.1658175925132608
550.0,1.7082818736418672,0.7930230116295451
560.0,1.7040397635377622,1.2124571167564628
570.0,1.8404530969181006,1.3007640942116792
580.0,1.8693719243769333,1.1994286098489924
590.0,1.9953987725189537,1.2683017248570205
600.0,1.912117967253848,1.2464870749017136
610.0,1.6920899723116638,0.8396918453320545
620.0,1.667997486631756,1.3153273768412876
630.0,1.7237355059844102,1.0382967716838596
640.0,1.695820253101701,1.0893479928434393
650.0,1.9131013747627974,1.1610188187152566
660.0,1.7030280018295996,1.2656929951548495
670.0,2.0168611778940084,1.2846499448449935
680.0,1.743322683803451,1.3489808058410842
690.0,1.7862466887861694,1.202798649529662
700.0,2.022399317438775,1.187847710397128
710.0,2.0542163051401667,1.3837000171234028
720.0,2.03572894247767,1.3343730821632638
730.0,1.8118991384240977,1.0903670182554255
740.0,1.6925517099213305,1.0095309932624252
750.0,1.8547121928225536,1.6130498998823148
760.0,1.5941476664799237,0.9959196032854563
770.0,1.5771700469028778,1.0309771738655202
780.0,1.886194899732744,1.3597983673427654
790.0,2.104419600798605,1.3515513617320807
