time_ps,min_dist_A
0.0,2.9668496585396267
10.0,3.017234119753052
20.0,3.0346176527537003
30.0,3.085999622599249
40.0,3.043812982618239
50.0,2.9173092599641177
60.0,2.8938197052641925
70.0,3.1443634902908144
80.0,3.010131050381101
90.0,2.888058840625751
100.0,3.3442189012562937
110.0,3.1040789913109523
120.0,3.0684531151156347
130.0,3.2906216260821157
140.0,3.280688627580476
150.0,3.0865204648694062
160.0,3.2296271009128907
170.0,2.837694996593134
180.0,2.8528753522156336
190.0,3.167145455504699
200.0,3.264800096738973
210.0,3.1522882817328512
220.0,3.3405391244337554
230.0,3.1916509487921525
240.0,3.070670262587104
250.0,2.957851808833177
260.0,3.57036790935045
270.0,3.265457869907296
280.0,3.314018218972734
290.0,3.3908189856732807
300.0,3.04711448278899
310.0,3.3036485844803534
320.0,3.1206921707138013
330.0,3.2766138408460828
340.0,3.0636231677697667
350.0,3.2158873552974603
360.0,3.3252209683845027
370.0,3.338622205802687
380.0,3.3958362862864404
390.0,3.3900438135981186
400.0,3.0298095572870927
410.0,3.1759210791433863
420.0,3.089432478456727
430.0,3.19971837903375
440.0,3.141289812748749
450.0,3.1280168677367155
460.0,3.5019057346651614
470.0,3.2460032751106422
480.0,3.073720096128285
490.0,2.953657249389733
500.0,3.144329926595955
510.0,3.2038262808925144
520.0,3.3541768854285516
530.0,3.303116842883179
540.0,3.2056510780556016
550.0,3.5014327686203655
560.0,3.1813610194645707
570.0,2.9964986230283253
580.0,3.0944662597153534
590.0,3.214794645265968
600.0,3.091453879328997
610.0,3.3389055898689413
620.0,3.2230421454586273
630.0,3.3267019097552
640.0,3.2238824315026364
650.0,3.4359037389394156
660.0,3.3759731462017837
670.0,3.3064286239692575
680.0,3.0649621300915313
690.0,3.205406543587059
700.0,3.0302791184921483
710.0,3.588330301891531
720.0,3.24106786720332
730.0,3.2368335450986416
740.0,2.991604082932753
750.0,2.936083950580333
760.0,3.4814087596719245
770.0,3.168614868414567
780.0,3.200589252585266
790.0,2.930275633678086
800.0,3.189325655534307
810.0,3.0528326412286937
820.0,3.4540699509979715
830.0,3.179577126858984
840.0,2.8690932890498453
850.0,3.0915552179808867
860.0,3.0143953492062208
870.0,2.8162895571788757
880.0,3.3621711684802933
890.0,3.3757476143699825
900.0,3.114932940452373
910.0,2.9924052374744727
920.0,2.8917313112117125
930.0,2.9259661996257327
940.0,2.8969663171646443
950.0,3.0158561925653347
960.0,3.0382372619355773
970.0,3.1999043250098165
980.0,3.0613886954524134
990.0,3.312839496072033
1000.0,3.0860491890389823
1010.0,3.0605402231529273
1020.0,3.367963539399354
1030.0,2.9146044643095204
1040.0,3.0543429638105284
1050.0,3.1646776331090165
1060.0,3.6229555217217984
1070.0,3.2500764444673464
1080.0,3.2039648303566053
1090.0,3.0361969690616446
1100.0,3.3610966314311614
1110.0,3.1499361350233444
