time_ps,backbone_RMSD,ligand_RMSD
0.0,6.518231641515815e-07,0.0
10.0,0.9127990412842018,0.6924497389978561
20.0,0.9320145973396772,0.9735163031127714
30.0,0.9290650233510533,1.1494787435955862
40.0,0.8929778757031865,0.770051913108241
50.0,0.9740331012731465,0.8860161374642463
60.0,1.204537490163437,1.2534304615218883
70.0,1.1952760542050211,0.8713725346118526
80.0,1.1686018864733156,1.213708743475059
90.0,1.1142593724931105,1.1500470549624275
100.0,1.0585858020740981,0.9080949828761106
110.0,1.1296514699762603,1.0718521160666663
120.0,1.281695724499217,0.4393931128835841
130.0,1.2107943289226897,0.8263814777946088
140.0,1.2435704392885338,0.6870770020247057
150.0,1.353027638318378,0.6999557928502488
160.0,1.300669460842074,0.8836696316151921
170.0,1.3648356843842782,0.989778280097382
180.0,1.4223909340742522,0.6869558977448034
190.0,1.5105478310403673,0.7601528884386496
200.0,1.5855863061779736,0.7138500647168301
210.0,1.6349731939879883,0.9056170363893161
220.0,1.5635874783913712,0.9353264691639643
230.0,1.6149611592065631,0.9372727216451675
240.0,1.655406462484464,0.8643687385605179
250.0,1.780237621346578,0.9037328220743047
260.0,1.9138445082191988,1.0313304874908915
270.0,1.6874972974404048,0.5504378786230414
280.0,1.7181167107562063,0.8565215406279719
290.0,1.7395923671668598,0.7641999764856502
300.0,1.6315999067265952,0.5726664327149685
310.0,1.7187460219583344,0.37881534082538826
320.0,1.6671953332621647,0.844358886618523
330.0,1.6886394716419049,0.9837196464966271
340.0,1.6165820005067104,1.0145213526945231
350.0,1.6828948780044168,1.2627857711499695
360.0,1.6350222231655749,0.9912893217358374
370.0,1.4325689536053672,1.1824472166119997
380.0,1.6534005925084774,0.9031656084294737
390.0,1.7775246464508219,1.0887688789799193
400.0,1.8719906208188475,1.5454218390110148
410.0,1.7895332061513518,1.7199127438707582
420.0,1.4995083200936299,1.5617996745162357
430.0,1.46341114050312,0.7833714338751653
440.0,1.4366182014028293,0.8209132231574252
450.0,1.2381860929810151,1.2067768535647192
460.0,1.224979151627362,1.0531539988867262
470.0,1.325119145343363,1.3695712674422358
480.0,1.1472538766150975,1.3535132846137308
490.0,1.2433058243381143,0.5650458419559884
500.0,1.349330879874952,1.088678321950047
510.0,1.4243464371002168,0.7519695722107214
520.0,1.5524683853342274,1.121556741905534
530.0,1.6579980436033126,1.2322910567705025
540.0,1.5864617151990859,0.7301398046435625
550.0,1.5953493180469502,1.1990149369643481
560.0,1.4927572888244265,0.6447391866855873
570.0,1.6441486822002975,1.3451036116128967
580.0,1.377865323957547,1.0324809119077931
590.0,1.5094571829094559,1.3453242506663083
600.0,1.5097485496939809,1.013115967771414
610.0,1.568801630974063,0.6921980469610601
620.0,1.59607340012834,1.012629519093255
630.0,1.600714047093221,1.1794867593664156
640.0,1.6947601629195685,0.9440357093416594
650.0,1.5049400358309821,0.7751408595225496
660.0,1.5411996455376755,0.584230201623127
670.0,1.6333071316700711,0.7476449837058063
680.0,1.786763653795733,0.947949028932515
690.0,1.721469923161841,0.6464827423163858
700.0,1.9198991285924254,0.8913360157564654
710.0,1.8825476606731348,0.9526406690422328
720.0,1.8367395934192827,0.796590811390519
730.0,1.9155197591412256,1.2686368379464779
740.0,1.61223691361979,0.6064816957720005
750.0,1.5676823405192124,0.7859450284395872
760.0,1.5878692614701582,0.5057101756829385
770.0,1.4175396693505173,0.6105491640478017
780.0,1.4583880347746552,0.5851756840480888
790.0,1.4497265288286738,0.5530787211093783
800.0,1.4925850966018792,0.8171574295096623
810.0,1.5323845064423,1.067836512593763
820.0,1.3219926880688377,0.5871786822433442
830.0,1.419530141905522,0.7222565659995928
840.0,1.4301588071747002,0.9804864915715339
