time_ps,min_dist_A
0.0,3.524498425019305
10.0,3.472012875408654
20.0,3.777405803525002
30.0,3.835336403946894
40.0,3.3797760703072557
50.0,3.3581115029482023
60.0,3.3641047980902217
70.0,3.376422074539064
80.0,3.294482920341033
90.0,3.5813528750384416
100.0,3.573023698783184
110.0,3.666225305339525
120.0,3.7546373349133955
130.0,3.364637346384566
140.0,3.3746465196721243
150.0,3.5782002968697104
160.0,3.567420534936847
170.0,3.665255278770587
180.0,3.2949825211190236
190.0,3.8637033898696904
200.0,3.4850245409545235
210.0,3.5711900645565122
220.0,3.4894259376924612
230.0,3.726930115680746
240.0,3.3947890783314847
250.0,3.6248304058550342
260.0,3.561886175449504
270.0,3.3532218525782955
280.0,3.657778241315776
290.0,3.4370155540239278
300.0,3.5114266085744563
310.0,3.5713417980902213
320.0,3.5319402010616607
330.0,3.6895142617530357
340.0,3.704544908840299
350.0,3.351310048409483
360.0,3.6530069961000793
370.0,3.4003241458579185
380.0,3.3899567205769205
390.0,3.529222112002405
400.0,3.476972094906665
410.0,3.327954657008498
420.0,3.589603935225196
430.0,3.4308169165678937
440.0,3.5205226895936286
450.0,3.649300722208888
460.0,3.808912905699567
470.0,3.5925791282159603
480.0,3.4323492105178866
490.0,3.336017032867809
500.0,3.308137012827049
510.0,3.4499974126405792
520.0,3.7275320431173418
530.0,3.38432049150605
540.0,3.2590009738291323
550.0,3.2418067952350182
560.0,3.4244728139307825
570.0,3.4626710845886786
580.0,3.6766311376342804
590.0,3.523132446350289
600.0,3.7565029638271463
610.0,3.392903068509908
620.0,3.565625602970425
630.0,3.4635401305069258
640.0,3.496022772938448
650.0,3.5245983770488705
660.0,3.481799208654766
670.0,3.5791349339787466
680.0,3.4252166332079605
690.0,3.669564515348514
700.0,3.226779155767658
710.0,3.5983722529093183
720.0,3.412045379433305
730.0,3.5412166474610896
740.0,3.642542860504253
750.0,3.419822048445203
760.0,3.6673989240569593
770.0,3.481207315016713
780.0,3.4825548335027716
790.0,3.385811533263231
800.0,3.4808470092049375
810.0,3.6375108982231494
820.0,3.628628873792374
830.0,3.2606288967963724
840.0,3.5472775076216343
850.0,3.5703363096713265
860.0,3.6149671784705104
870.0,3.5730538974486894
880.0,3.5069352357766643
890.0,3.7707288568795994
900.0,3.408369216050255
910.0,3.4204388989375794
920.0,3.4079579487425384
930.0,3.589736043425517
940.0,3.8161019070077433
950.0,3.461829231821259
960.0,3.452263315584971
970.0,3.7172306614311017
980.0,3.652315385919988
990.0,3.4836897303849663
1000.0,3.3444103155719525
1010.0,3.5093150169861262
1020.0,3.707830014708774
1030.0,3.5234377693711054
1040.0,3.5561389666314156
1050.0,3.544545269253388
1060.0,3.542555513563095
1070.0,3.606284429589924
1080.0,3.4704867581707948
1090.0,3.378256872663738
1100.0,3.429604782158167
1110.0,3.5574305161796715
1120.0,3.333178327799413
1130.0,3.5374147680203607
1140.0,3.265453197112503
1150.0,3.494979535267015
1160.0,3.514401065165159
1170.0,3.4082565289535403
1180.0,3.570071119782709
1190.0,3.8480517027917553
1200.0,3.626473001427365
1210.0,3.6814556970340724
1220.0,3.5876911944469945
1230.0,3.6143935222233745
1240.0,3.5773290070567088
1250.0,3.420013966225416
1260.0,3.5253644277098393
1270.0,3.542938330218774
1280.0,3.6493729888429223
1290.0,3.5278261332726593
1300.0,3.389662965660993
1310.0,3.7280913600155436
1320.0,3.6477048263999876
1330.0,3.558386617105338
1340.0,3.5331567307990523
1350.0,3.3641339919616104
1360.0,3.4007758191177015
1370.0,3.741284755414812
1380.0,3.5137144587341487
1390.0,3.515241877130626
1400.0,3.652136427523175
1410.0,3.4253614881453487
1420.0,3.527119389583194
1430.0,3.4252346895153924
